"CO_ANO";"CO_MES";"CO_NCM";"CO_UNID";"CO_PAIS";"SG_UF_NCM";"CO_VIA";"CO_URF";"QT_ESTAT";"KG_LIQUIDO";"VL_FOB"
"2024";"08";"84099912";"11";"063";"SP";"07";"1017500";82;3406;24714
"2024";"03";"07142000";"10";"580";"BA";"01";"0517800";15;15;21
"2024";"01";"19023000";"10";"163";"ES";"01";"0727600";12;12;70
"2024";"02";"84099190";"10";"317";"SP";"04";"0817700";1;1;434
"2024";"06";"33074100";"10";"023";"RJ";"04";"0817700";1;1;24
"2024";"05";"30049079";"10";"611";"SP";"04";"0817600";10;10;3542
"2024";"03";"09011110";"21";"087";"SP";"01";"0817800";921;920533;3353719
"2024";"04";"40093100";"10";"158";"SP";"04";"0817700";299;299;28214
"2024";"04";"33021000";"10";"741";"RJ";"01";"0717600";0;0;5
"2024";"02";"74198090";"10";"063";"RS";"07";"1017500";5;5;605
"2024";"07";"82055900";"10";"845";"SP";"07";"1017701";107;107;1230
"2024";"10";"84749000";"10";"493";"RS";"01";"1017700";2317;2317;25869
"2024";"09";"73182300";"10";"756";"SP";"04";"0817600";78;78;604
"2024";"03";"84213100";"11";"063";"RS";"07";"1017500";100;18;646
"2024";"07";"84818092";"11";"249";"SP";"04";"0817700";86;68;50335
"2024";"03";"72023000";"10";"063";"MS";"07";"0917500";216000;216000;219582
"2024";"06";"61099000";"11";"317";"SC";"04";"0817600";27;6;96
"2024";"08";"85011019";"11";"249";"SP";"01";"0817800";8068;1702;49164
"2024";"07";"76041010";"10";"337";"RR";"07";"0260152";1;1;16
"2024";"07";"85122011";"11";"239";"SP";"04";"0817700";80;518;32539
"2024";"07";"09011110";"21";"190";"GO";"01";"0817800";25;24603;129743
"2024";"08";"29072900";"10";"097";"SP";"04";"0817600";0;0;56
"2024";"09";"21031010";"10";"163";"RJ";"01";"0717600";4;4;17
"2024";"04";"75051210";"10";"160";"SP";"01";"0817800";675;675;28831
"2024";"04";"64039990";"13";"845";"PR";"07";"1010351";530;431;5032
"2024";"01";"27129000";"10";"063";"RJ";"01";"0817800";4000;4000;9220
"2024";"07";"07096000";"10";"301";"PR";"01";"0917800";12;12;25
"2024";"07";"44111310";"16";"815";"PR";"01";"0917800";66;56744;20737
"2024";"03";"84833029";"11";"586";"ES";"15";"0917500";53;7;695
"2024";"10";"21039029";"10";"097";"SC";"07";"0147600";260;260;1245
"2024";"09";"61059000";"11";"249";"PR";"04";"0817700";34;10;785
"2024";"01";"61099000";"11";"244";"RJ";"04";"0817700";1;1;148
"2024";"06";"20098990";"10";"741";"SP";"01";"0717600";129;129;149
"2024";"01";"84601900";"11";"607";"SC";"04";"0817700";200;1;2168
"2024";"08";"20081100";"10";"580";"ES";"01";"0710251";0;0;5
"2024";"08";"09103000";"10";"434";"RJ";"01";"0717800";1;1;10
"2024";"06";"94019100";"10";"097";"MG";"07";"0147600";20;20;27
"2024";"01";"11041200";"10";"359";"MA";"01";"0317903";9;9;50
"2024";"01";"02062990";"10";"351";"AC";"01";"0817800";12062;12062;50375
"2024";"07";"34013000";"10";"063";"SP";"07";"1017500";37945;37945;101678
"2024";"05";"84369100";"10";"586";"PR";"07";"0917500";56;56;1171
"2024";"02";"19030000";"10";"573";"MS";"01";"0817800";720;720;2000
"2024";"07";"07132090";"10";"386";"SP";"01";"0817800";5;5;19
"2024";"03";"73024000";"10";"158";"PR";"07";"1017500";23400;23400;55770
